"","date","confirmed","death","recovered"
"1",2020-01-22,557,17,30
"2",2020-01-23,98,1,2
"3",2020-01-24,286,8,7
"4",2020-01-25,492,16,3
"5",2020-01-26,685,14,14
"6",2020-01-27,809,26,9
"7",2020-01-28,2651,49,43
"8",2020-01-29,589,2,19
"9",2020-01-30,2068,38,18
"10",2020-01-31,1692,42,80
"11",2020-02-01,2111,46,62
"12",2020-02-02,4749,103,189
"13",2020-02-03,3100,64,151
"14",2020-02-04,4011,66,230
"15",2020-02-05,3745,72,272
"16",2020-02-06,3160,70,363
"17",2020-02-07,3593,85,524
"18",2020-02-08,2734,87,600
"19",2020-02-09,3030,100,629
"20",2020-02-10,2609,107,702
"21",2020-02-11,2042,100,737
"22",2020-02-12,418,5,467
"23",2020-02-13,15153,253,1143
"24",2020-02-14,6527,152,1763
"25",2020-02-15,2143,143,1339
"26",2020-02-16,2183,104,1470
"27",2020-02-17,2035,98,1717
"28",2020-02-18,1882,140,1769
"29",2020-02-19,500,115,1769
"30",2020-02-20,560,125,2058
"31",2020-02-21,629,4,713
"32",2020-02-22,1761,207,3997
"33",2020-02-23,380,11,505
"34",2020-02-24,568,160,1833
"35",2020-02-25,854,80,2678
"36",2020-02-26,977,61,2481
"37",2020-02-27,1359,43,2892
"38",2020-02-28,1386,59,3432
"39",2020-02-29,1892,70,3071
"40",2020-03-01,2382,54,2936
"41",2020-03-02,1979,89,2884
"42",2020-03-03,2601,74,2626
"43",2020-03-04,2302,95,2942
"44",2020-03-05,2813,93,2626
"45",2020-03-06,3921,113,2068
"46",2020-03-07,4097,104,2494
"47",2020-03-08,3938,240,2337
"48",2020-03-09,4181,190,1799
"49",2020-03-10,4824,276,1907
"50",2020-03-11,7663,345,2598
"51",2020-03-12,5788,309,1323
"52",2020-03-13,14372,492,1927
"53",2020-03-14,11104,421,2372
"54",2020-03-15,11266,650,3411
"55",2020-03-16,14793,687,2055
"56",2020-03-17,15991,816,2744
"57",2020-03-18,19574,918,2487
"58",2020-03-19,27099,1116,1641
"59",2020-03-20,30874,1493,2445
"60",2020-03-21,32151,1726,4247
"61",2020-03-22,35098,1683,6217
"62",2020-03-23,42683,1959,468
"63",2020-03-24,41069,2310,9639
"64",2020-03-25,51073,2825,5779
"65",2020-03-26,62939,3041,8372
"66",2020-03-27,64983,3487,8785
"67",2020-03-28,69756,3793,8511
"68",2020-03-29,56698,3507,9456
"69",2020-03-30,65319,4089,15337
"70",2020-03-31,76938,4742,13590
"71",2020-04-01,83007,6013,15272
"72",2020-04-02,83138,5902,17143
"73",2020-04-03,83813,6153,15422
"74",2020-04-04,59135,5980,20412
"75",2020-04-05,70826,5257,13836
"76",2020-04-06,73948,5938,16709
"77",2020-04-07,69644,8305,23262
"78",2020-04-08,83297,6833,28882
"79",2020-04-09,86991,7872,25254
"80",2020-04-10,85315,7419,21738
"81",2020-04-11,74376,6281,26250
"82",2020-04-12,119625,5947,19383
"83",2020-04-13,71033,6018,27257
"84",2020-04-14,83870,7084,25074
"85",2020-04-15,78209,8547,36539
"86",2020-04-16,95693,7427,30883
"87",2020-04-17,88036,8516,26184
"88",2020-04-18,77199,6200,23866
"89",2020-04-19,76746,5354,31783
"90",2020-04-20,75557,6049,22178
"91",2020-04-21,76011,7379,34802
"92",2020-04-22,81485,7043,30085
"93",2020-04-23,83997,7008,28730
"94",2020-04-24,84118,6924,50029
"95",2020-04-25,82348,5876,27755
"96",2020-04-26,71469,4260,28812
"97",2020-04-27,70247,4946,27884
"98",2020-04-28,75814,6821,33212
"99",2020-04-29,77189,6953,42077
"100",2020-04-30,83287,6043,65116
"101",2020-05-01,88478,5474,38157
"102",2020-05-02,79240,5837,40651
"103",2020-05-03,74740,3844,32533
"104",2020-05-04,77707,4571,34086
"105",2020-05-05,80224,6112,36473
"106",2020-05-06,90520,6888,46119
"107",2020-05-07,88854,5698,39525
"108",2020-05-08,90438,5915,36413
"109",2020-05-09,84408,4591,53441
"110",2020-05-10,75566,4031,33809
"111",2020-05-11,76455,3919,46885
"112",2020-05-12,84481,5885,37042
"113",2020-05-13,84895,5478,55872
"114",2020-05-14,96082,5576,39711
"115",2020-05-15,96028,5636,48103
"116",2020-05-16,94330,4554,56411
"117",2020-05-17,78267,3572,41008
"118",2020-05-18,88792,4157,52916
"119",2020-05-19,96955,5135,52052
"120",2020-05-20,102197,5195,58970
"121",2020-05-21,106657,5078,51220
"122",2020-05-22,106381,5678,108547
"123",2020-05-23,104584,4302,54834
"124",2020-05-24,94545,3483,55527
"125",2020-05-25,86417,1615,63729
"126",2020-05-26,93218,4663,55152
"127",2020-05-27,103600,5393,63327
"128",2020-05-28,118606,5012,66863
"129",2020-05-29,121029,5155,77265
"130",2020-05-30,136990,4384,70450
"131",2020-05-31,106611,3153,76384
"132",2020-06-01,95747,3511,54925
"133",2020-06-02,121691,5200,104112
"134",2020-06-03,114181,5839,79091
"135",2020-06-04,130863,5427,70070
"136",2020-06-05,130900,5063,69165
"137",2020-06-06,134071,4218,72204
"138",2020-06-07,112683,3187,55109
"139",2020-06-08,101471,4166,151611
"140",2020-06-09,124470,5193,82270
"141",2020-06-10,135447,5482,79171
"142",2020-06-11,137301,5064,85879
"143",2020-06-12,129043,4808,79720
"144",2020-06-13,135154,4461,85892
"145",2020-06-14,132652,3644,70819
"146",2020-06-15,118406,3835,80275
"147",2020-06-16,141708,7119,97863
"148",2020-06-17,144583,5565,118831
"149",2020-06-18,140756,5314,81163
"150",2020-06-19,180185,6381,94990
"151",2020-06-20,157577,4495,115854
"152",2020-06-21,128735,4621,68686
"153",2020-06-22,138386,3745,91633
"154",2020-06-23,167081,5573,104055
"155",2020-06-24,172874,5539,115751
"156",2020-06-25,178340,5045,92884
"157",2020-06-26,191842,5078,105980
"158",2020-06-27,178720,4782,106286
"159",2020-06-28,164957,3527,89203
"160",2020-06-29,153593,4013,94571
"161",2020-06-30,176397,5198,117340
"162",2020-07-01,217379,5328,115914
"163",2020-07-02,209766,5440,284934
"164",2020-07-03,202643,5308,109888
"165",2020-07-04,196407,4811,195760
"166",2020-07-05,184058,3846,119363
"167",2020-07-06,163522,4155,123699
"168",2020-07-07,209995,6350,145033
"169",2020-07-08,213722,5663,158056
"170",2020-07-09,225007,5787,134618
"171",2020-07-10,232709,5663,139446
"172",2020-07-11,217673,5217,125692
"173",2020-07-12,193864,4302,111836
"174",2020-07-13,190299,4293,140323
"175",2020-07-14,221224,6012,142252
"176",2020-07-15,231226,5874,159806
"177",2020-07-16,251604,6179,152485
"178",2020-07-17,242076,7046,183421
"179",2020-07-18,238019,6552,150787
"180",2020-07-19,214197,4911,88058
"181",2020-07-20,205481,3819,159128
"182",2020-07-21,234683,6397,174696
"183",2020-07-22,279703,7356,179732
"184",2020-07-23,283205,6622,176230
"185",2020-07-24,281378,6457,228300
"186",2020-07-25,255278,6148,219812
"187",2020-07-26,214567,4329,143301
"188",2020-07-27,226488,5232,171383
"189",2020-07-28,249433,6724,170458
"190",2020-07-29,288836,7008,202586
"191",2020-07-30,280693,6631,213519
"192",2020-07-31,290268,6580,199606
"193",2020-08-01,250669,6125,180911
"194",2020-08-02,231837,4657,138724
"195",2020-08-03,206127,4778,222445
"196",2020-08-04,254442,7001,223657
"197",2020-08-05,277635,7487,221695
"198",2020-08-06,283307,6887,188807
"199",2020-08-07,283343,6689,192046
"200",2020-08-08,259586,6072,200244
"201",2020-08-09,227043,5123,178778
"202",2020-08-10,224156,5396,164211
"203",2020-08-11,262041,6622,305068
"204",2020-08-12,273334,6946,240645
"205",2020-08-13,289325,6835,163916
"206",2020-08-14,303613,6659,283242
"207",2020-08-15,250191,5965,168604
"208",2020-08-16,215186,4824,232954
"209",2020-08-17,206747,4521,211012
"210",2020-08-18,256133,7063,227595
"211",2020-08-19,276639,7103,217997
"212",2020-08-20,273170,6410,207790
"213",2020-08-21,261173,5731,168494
"214",2020-08-22,265499,5804,209917
"215",2020-08-23,206474,4399,216531
"216",2020-08-24,223614,4713,199421
"217",2020-08-25,244555,6636,231549
"218",2020-08-26,282553,6559,225734
"219",2020-08-27,284507,6215,207237
"220",2020-08-28,283322,5862,199118
"221",2020-08-29,265293,5625,211413
"222",2020-08-30,221426,4420,210240
"223",2020-08-31,260175,4380,200790
"224",2020-09-01,265908,6630,257962
"225",2020-09-02,283182,6290,219237
"226",2020-09-03,281581,6069,221369
"227",2020-09-04,314308,5887,213501
"228",2020-09-05,270326,5152,200988
"229",2020-09-06,230276,4140,211791
"230",2020-09-07,218130,9593,197548
"231",2020-09-08,240462,5108,201797
"232",2020-09-09,285406,6231,240267
"233",2020-09-10,299811,6018,216661
"234",2020-09-11,321673,6029,223670
"235",2020-09-12,287260,5059,222934
"236",2020-09-13,242846,3991,187848
"237",2020-09-14,262609,4526,228499
"238",2020-09-15,285316,6603,226287
"239",2020-09-16,304512,5908,229477
"240",2020-09-17,314801,5597,220211
"241",2020-09-18,325960,5817,251149
"242",2020-09-19,292625,5391,236985
"243",2020-09-20,252621,3976,237077
"244",2020-09-21,274728,4337,245478
"245",2020-09-22,284751,6197,219393
"246",2020-09-23,276099,5616,263413
"247",2020-09-24,353496,6580,255670
"248",2020-09-25,331065,5943,239208
"249",2020-09-26,288939,5565,262143
"250",2020-09-27,251900,3844,213879
"251",2020-09-28,254372,4021,222542
"252",2020-09-29,282942,6064,241284
"253",2020-09-30,326046,6529,248218
"254",2020-10-01,318634,8805,221542
"255",2020-10-02,298164,5040,172285
"256",2020-10-03,333060,5449,255601
"257",2020-10-04,261201,4032,222159
"258",2020-10-05,299538,6999,237468
"259",2020-10-06,326287,5850,232626
"260",2020-10-07,351139,5902,255191
"261",2020-10-08,361763,6362,219506
"262",2020-10-09,361181,6209,206790
"263",2020-10-10,357495,4919,195405
"264",2020-10-11,287835,4135,222640
"265",2020-10-12,291458,4069,200119
"266",2020-10-13,318709,5376,192445
"267",2020-10-14,381724,6193,212285
"268",2020-10-15,407315,6082,207327
"269",2020-10-16,411825,6325,203014
"270",2020-10-17,374341,5681,198283
"271",2020-10-18,316635,3661,201511
"272",2020-10-19,386332,4900,202531
"273",2020-10-20,388991,6637,211447
"274",2020-10-21,444516,6805,211222
"275",2020-10-22,472433,5943,226793
"276",2020-10-23,497549,7076,206734
"277",2020-10-24,457172,5898,211581
"278",2020-10-25,360817,4264,197258
"279",2020-10-26,485803,5602,239135
"280",2020-10-27,470431,7443,589705
"281",2020-10-28,511869,7208,265962
"282",2020-10-29,550332,7169,246751
"283",2020-10-30,571805,7621,255774
"284",2020-10-31,477381,6699,244329
"285",2020-11-01,462799,5122,257947
"286",2020-11-02,561706,6200,280137
"287",2020-11-03,554535,9429,251573
"288",2020-11-04,511208,10146,279319
"289",2020-11-05,597162,8103,303655
"290",2020-11-06,644908,9750,288361
"291",2020-11-07,600746,7690,299016
"292",2020-11-08,483521,6035,253240
"293",2020-11-09,500236,7236,257053
"294",2020-11-10,558925,10029,257360
"295",2020-11-11,650213,10504,380224
"296",2020-11-12,647545,9768,226239
"297",2020-11-13,652858,9639,302132
"298",2020-11-14,598201,9208,277819
"299",2020-11-15,474498,6588,230760
"300",2020-11-16,532100,7913,390730
"301",2020-11-17,611172,11089,433591
"302",2020-11-18,627338,11421,363110
"303",2020-11-19,653913,11116,374299
"304",2020-11-20,671707,11808,355424
"305",2020-11-21,589181,9013,339270
"306",2020-11-22,487364,7418,273724
"307",2020-11-23,523855,8503,411213
"308",2020-11-24,592275,12720,372179
"309",2020-11-25,637900,12150,437410
"310",2020-11-26,586269,10961,366876
"311",2020-11-27,683995,11410,381626
"312",2020-11-28,588083,9297,359706
"313",2020-11-29,488632,7322,318283
"314",2020-11-30,504773,8893,402256
"315",2020-12-01,618149,12720,476204
"316",2020-12-02,653063,12673,462926
"317",2020-12-03,695343,12537,426984
"318",2020-12-04,685869,12536,490617
"319",2020-12-05,646943,10312,435948
"320",2020-12-06,536212,7641,316044
"321",2020-12-07,516816,8705,413139
"322",2020-12-08,649707,12355,440771
"323",2020-12-09,669085,12655,426480
"324",2020-12-10,1500839,12665,491226
"325",2020-12-11,705637,13109,478140
"326",2020-12-12,637428,10665,1504943
"327",2020-12-13,529569,7749,395119
"328",2020-12-14,533019,9088,-5989997
"329",2020-12-15,648771,13864,358164
"330",2020-12-16,727626,13793,362220
"331",2020-12-17,737851,13443,375409
"332",2020-12-18,717265,12933,317728
"333",2020-12-19,620651,10923,351586
"334",2020-12-20,530853,8034,276829
"335",2020-12-21,541475,9621,343220
"336",2020-12-22,653497,14270,363185
"337",2020-12-23,690822,13870,324140
"338",2020-12-24,677804,11774,314672
"339",2020-12-25,478267,8643,291606
"340",2020-12-26,507058,7526,408164
"341",2020-12-27,432641,7716,292388
"342",2020-12-28,489614,9699,298426
"343",2020-12-29,665879,15141,353095
"344",2020-12-30,749705,15395,388245
"345",2020-12-31,767693,13456,298332
"346",2021-01-01,566159,10057,303304
"347",2021-01-02,585889,8190,255185
"348",2021-01-03,521777,7621,268482
"349",2021-01-04,551165,10117,290408
"350",2021-01-05,736304,15490,315361
"351",2021-01-06,784593,15082,313125
"352",2021-01-07,891930,15128,323931
"353",2021-01-08,810701,15177,297263
"354",2021-01-09,758291,13033,330245
"355",2021-01-10,588085,8676,270550
"356",2021-01-11,616805,10310,290288
"357",2021-01-12,697248,17201,343557
"358",2021-01-13,747681,16869,366061
"359",2021-01-14,757826,15642,372845
"360",2021-01-15,770624,15163,320622
"361",2021-01-16,645208,13601,317055
"362",2021-01-17,527612,9012,315715
"363",2021-01-18,512079,9714,318753
"364",2021-01-19,597452,16944,402944
"365",2021-01-20,694930,17976,327771
"366",2021-01-21,654769,17160,366139
"367",2021-01-22,657367,16192,381757
"368",2021-01-23,571625,13797,316493
"369",2021-01-24,451968,9208,310957
"370",2021-01-25,488238,11185,314441
"371",2021-01-26,553208,17541,329543
"372",2021-01-27,599691,17147,340769
"373",2021-01-28,611992,17159,315659
"374",2021-01-29,590611,15505,364107
"375",2021-01-30,517620,13536,351166
"376",2021-01-31,384561,8674,288899
"377",2021-02-01,441263,10657,272642
"378",2021-02-02,456957,15270,350190
"379",2021-02-03,523447,16071,329847
"380",2021-02-04,466845,12857,293989
"381",2021-02-05,532476,17168,281287
"382",2021-02-06,378503,10440,294557
"383",2021-02-07,399896,8273,277435
"384",2021-02-08,311372,8860,232834
"385",2021-02-09,426758,16107,371608
"386",2021-02-10,436363,13921,269308
"387",2021-02-11,441771,13716,276085
"388",2021-02-12,428875,13153,287599
"389",2021-02-13,374595,10342,246243
"390",2021-02-14,295198,6668,195431
"391",2021-02-15,283317,7413,288613
"392",2021-02-16,347570,11560,235405
"393",2021-02-17,395159,11873,293941
"394",2021-02-18,405014,11811,236618
"395",2021-02-19,411363,11727,234636
"396",2021-02-20,371973,8869,269216
"397",2021-02-21,315295,6447,217257
"398",2021-02-22,287195,7417,182570
"399",2021-02-23,388592,11696,278630
"400",2021-02-24,445209,12427,209459
"401",2021-02-25,448026,10634,227692
"402",2021-02-26,443388,10720,260268
"403",2021-02-27,390360,8634,250722
"404",2021-02-28,304027,6211,175177
"405",2021-03-01,302963,7852,214926
"406",2021-03-02,310196,10348,270104
"407",2021-03-03,440929,11736,229408
"408",2021-03-04,453593,10271,250280
"409",2021-03-05,447415,10694,226360
"410",2021-03-06,411266,8095,236503
"411",2021-03-07,369326,5915,238320
"412",2021-03-08,298401,7148,274558
"413",2021-03-09,413149,10644,262233
"414",2021-03-10,467243,10134,235356
"415",2021-03-11,477087,10201,272617
"416",2021-03-12,489412,10101,268556
"417",2021-03-13,454647,8467,252532
"418",2021-03-14,360798,5964,245688
"419",2021-03-15,347474,7445,289879
"420",2021-03-16,473537,10552,266485
"421",2021-03-17,539447,10453,264536
"422",2021-03-18,553584,10857,269076
"423",2021-03-19,561975,11059,279061
"424",2021-03-20,500009,8704,258211
"425",2021-03-21,424320,8210,280099
"426",2021-03-22,415434,8017,334629
"427",2021-03-23,514160,11502,313142
"428",2021-03-24,633608,10402,335642
"429",2021-03-25,651906,11682,311817
"430",2021-03-26,641474,12874,364586
"431",2021-03-27,585742,10148,305253
"432",2021-03-28,470499,7359,328788
"433",2021-03-29,457331,8462,304436
"434",2021-03-30,568414,12091,335243
"435",2021-03-31,683368,12801,382509
"436",2021-04-01,711965,12413,344786
"437",2021-04-02,634713,10699,320207
"438",2021-04-03,530231,9327,366001
"439",2021-04-04,554036,7321,348188
"440",2021-04-05,486736,7701,347813
"441",2021-04-06,604524,12603,369996
"442",2021-04-07,684624,15726,483305
"443",2021-04-08,840022,14418,395259
"444",2021-04-09,749770,14218,453713
"445",2021-04-10,666530,13055,384994
"446",2021-04-11,690463,9025,530472
"447",2021-04-12,614477,9865,394732
"448",2021-04-13,779614,13828,486462
"449",2021-04-14,817233,14085,446890
"450",2021-04-15,816529,13669,444402
"451",2021-04-16,857326,13316,504117
"452",2021-04-17,786477,12500,518536
"453",2021-04-18,685783,9250,580191
"454",2021-04-19,692748,10889,535375
"455",2021-04-20,854002,14319,604837
"456",2021-04-21,890893,14915,512300
"457",2021-04-22,898678,13902,636296
"458",2021-04-23,904261,15190,639832
"459",2021-04-24,821309,13263,576291
"460",2021-04-25,723109,10645,533814
"461",2021-04-26,681705,11636,687366
"462",2021-04-27,844532,14971,680904
"463",2021-04-28,906034,16018,596665
"464",2021-04-29,897973,15755,707316
"465",2021-04-30,879232,14014,686596
"466",2021-05-01,797561,13287,682450
"467",2021-05-02,674670,10241,693014
"468",2021-05-03,680274,11758,643489
"469",2021-05-04,806992,14043,656900
"470",2021-05-05,842048,14886,713482
"471",2021-05-06,870833,14637,675612
"472",2021-05-07,832455,14398,696129
"473",2021-05-08,786577,13311,711005
"474",2021-05-09,641994,10467,662793
"475",2021-05-10,619252,11089,628686
"476",2021-05-11,738781,14232,751004
"477",2021-05-12,760428,13845,647549
"478",2021-05-13,725438,13692,690117
"479",2021-05-14,717495,13059,665347
"480",2021-05-15,628602,12223,642537
"481",2021-05-16,549085,10257,667404
"482",2021-05-17,539301,11157,744462
"483",2021-05-18,622331,14201,743113
"484",2021-05-19,672000,13568,698027
"485",2021-05-20,279870,13058,636689
"486",2021-05-21,626142,13011,614788
"487",2021-05-22,578962,11540,616761
"488",2021-05-23,476920,9760,501971
"489",2021-05-24,452913,9057,627592
"490",2021-05-25,532143,13209,577063
"491",2021-05-26,569243,12740,555813
"492",2021-05-27,554415,13013,697358
"493",2021-05-28,500254,11964,554963
"494",2021-05-29,481851,10763,507600
"495",2021-05-30,391798,8304,489929
"496",2021-05-31,378615,8688,529169
"497",2021-06-01,463112,15331,583883
"498",2021-06-02,485830,11903,528374
"499",2021-06-03,489409,9838,429190
"500",2021-06-04,419393,10960,525502
"501",2021-06-05,398838,9184,478130
"502",2021-06-06,323140,7233,441526
"503",2021-06-07,320686,8053,421997
"504",2021-06-08,366813,10380,414736
"505",2021-06-09,419783,10469,452695
"506",2021-06-10,449705,16010,413689
"507",2021-06-11,420828,11921,375532
"508",2021-06-12,372641,9784,338974
"509",2021-06-13,303574,9277,429661
"510",2021-06-14,307544,7862,346774
"511",2021-06-15,371217,10574,460145
"512",2021-06-16,398658,10326,349227
"513",2021-06-17,392493,9268,380478
"514",2021-06-18,406706,9215,319563
"515",2021-06-19,349354,8174,331850
"516",2021-06-20,302307,6745,265094
"517",2021-06-21,293801,6863,357218
"518",2021-06-22,371702,8975,303404
"519",2021-06-23,437653,9515,399743
"520",2021-06-24,405007,8622,289711
"521",2021-06-25,421847,9205,328647
"522",2021-06-26,365988,7545,294559
"523",2021-06-27,311376,6102,258739
"524",2021-06-28,328476,6496,327456
"525",2021-06-29,379569,8109,293416
"526",2021-06-30,397003,9178,280941
"527",2021-07-01,440647,8691,427856
"528",2021-07-02,441355,8319,291042
"529",2021-07-03,376659,6904,269775
"530",2021-07-04,328437,6671,298888
"531",2021-07-05,369579,7214,366993
"532",2021-07-06,453119,8573,327843
"533",2021-07-07,463878,8556,268163
"534",2021-07-08,480459,8854,292651
"535",2021-07-09,507537,8443,339118
"536",2021-07-10,427000,6680,444204
"537",2021-07-11,370048,7551,290486
"538",2021-07-12,436708,8064,302236
"539",2021-07-13,520077,8334,283447
"540",2021-07-14,541084,8643,329741
"541",2021-07-15,572228,8496,281056
"542",2021-07-16,598461,8766,390705
"543",2021-07-17,473791,7091,280789
"544",2021-07-18,430202,7064,316483
"545",2021-07-19,495717,7078,306721
"546",2021-07-20,531132,20756,320180
"547",2021-07-21,558592,8692,306583
"548",2021-07-22,564452,8800,356128
"549",2021-07-23,690667,7749,246390
"550",2021-07-24,471851,9253,517226
"551",2021-07-25,443733,7277,327417
"552",2021-07-26,540901,7795,300461
"553",2021-07-27,609869,9872,345839
"554",2021-07-28,643971,10241,336663
"555",2021-07-29,652899,10833,348388
"556",2021-07-30,731089,9527,307191
"557",2021-07-31,509053,8895,303929
"558",2021-08-01,479889,7111,289178
"559",2021-08-02,578704,8178,283144
"560",2021-08-03,636973,10351,304468
"561",2021-08-04,675330,10587,317060
"562",2021-08-05,688640,10990,NA
"563",2021-08-06,821107,10581,NA
"564",2021-08-07,549911,8604,NA
"565",2021-08-08,439843,7466,NA
"566",2021-08-09,656094,8639,NA
"567",2021-08-10,648333,11972,NA
"568",2021-08-11,727930,9991,NA
"569",2021-08-12,710359,10661,NA
"570",2021-08-13,805524,10490,NA
"571",2021-08-14,533177,8686,NA
"572",2021-08-15,463428,7246,NA
"573",2021-08-16,679334,9827,NA
"574",2021-08-17,682124,10733,NA
"575",2021-08-18,728131,10835,NA
"576",2021-08-19,715164,11453,NA
"577",2021-08-20,789793,10476,NA
"578",2021-08-21,539274,8907,NA
"579",2021-08-22,445958,7657,NA
"580",2021-08-23,705188,10033,NA
"581",2021-08-24,686384,11053,NA
"582",2021-08-25,730355,11344,NA
"583",2021-08-26,735546,11648,NA
"584",2021-08-27,744850,10234,NA
"585",2021-08-28,546438,8427,NA
"586",2021-08-29,446392,6743,NA
"587",2021-08-30,687211,9500,NA
"588",2021-08-31,618590,9031,NA
"589",2021-09-01,726796,12466,NA
"590",2021-09-02,677731,11187,NA
"591",2021-09-03,717034,10638,NA
"592",2021-09-04,488778,7729,NA
"593",2021-09-05,426754,6474,NA
"594",2021-09-06,437497,7923,NA
"595",2021-09-07,736227,10451,NA
"596",2021-09-08,630023,9980,NA
"597",2021-09-09,636562,10715,NA
"598",2021-09-10,632732,9090,NA
"599",2021-09-11,451182,8280,NA
"600",2021-09-12,363885,5487,NA
"601",2021-09-13,609291,9006,NA
"602",2021-09-14,549167,9863,NA
"603",2021-09-15,563272,10360,NA
"604",2021-09-16,577610,10414,NA
"605",2021-09-17,593099,8881,NA
"606",2021-09-18,476052,6171,NA
